Player,Team,G,MP,FG,FGA,FG%,3P,3P%,2P,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PTS,Season,TS%,EFF,MVP_Rank
Anthony Tolliver,PHI,11.0,9.0,0.4,1.5,0.235,0.4,0.286,0.0,0.0,0.353,0.5,0.5,0.833,0.3,0.6,0.9,0.2,0.3,0.2,0.3,1.5,2020-21,0.44,0.15,
Robert Woodard II,SAC,13.0,3.5,0.6,1.5,0.4,0.1,0.167,0.5,0.5,0.425,0.2,0.6,0.375,0.3,0.9,1.2,0.2,0.0,0.2,0.1,1.5,2020-21,0.43,0.13,
Nate Darling,CHO,7.0,3.7,0.3,1.0,0.286,0.3,0.286,0.0,,0.429,0.4,0.4,1.0,0.1,0.0,0.1,0.1,0.0,0.1,0.1,1.3,2020-21,0.55,0.11,
Kris Dunn,ATL,4.0,11.3,0.3,3.0,0.083,0.0,0.0,0.3,0.1,0.083,0.8,1.0,0.75,0.0,1.5,1.5,0.5,0.5,0.5,0.8,1.3,2020-21,0.19,0.15,
Cristiano Felício,CHI,18.0,4.7,0.4,0.7,0.538,0.0,0.0,0.4,0.636,0.538,0.5,0.9,0.563,0.6,0.9,1.4,0.5,0.2,0.0,0.2,1.3,2020-21,0.59,0.14,
Jalen Lecque,IND,4.0,3.0,0.3,2.3,0.111,0.0,0.0,0.3,0.125,0.111,0.8,0.8,1.0,0.5,0.8,1.3,0.5,0.0,0.0,0.0,1.3,2020-21,0.25,0.28,
Marques Bolden,CLE,6.0,4.8,0.2,0.5,0.333,0.0,,0.2,0.333,0.333,0.8,1.3,0.625,0.5,0.5,1.0,0.0,0.3,0.3,0.3,1.2,2020-21,0.56,0.28,
Juwan Morgan,UTA,29.0,5.1,0.5,1.0,0.467,0.1,0.308,0.3,0.588,0.533,0.1,0.2,0.429,0.3,0.7,1.0,0.3,0.1,0.0,0.1,1.2,2020-21,0.55,0.07,
Andre Roberson,BRK,5.0,12.6,0.4,2.8,0.143,0.2,0.125,0.2,0.167,0.179,0.2,0.4,0.5,1.4,1.6,3.0,0.8,0.6,0.2,0.4,1.2,2020-21,0.2,0.56,
Udoka Azubuike,UTA,15.0,3.8,0.3,0.6,0.444,0.0,,0.3,0.444,0.444,0.5,0.7,0.8,0.3,0.6,0.9,0.0,0.1,0.3,0.2,1.1,2020-21,0.61,0.11,
Karim Mané,ORL,10.0,8.8,0.3,1.3,0.231,0.1,0.5,0.2,0.182,0.269,0.4,0.5,0.8,0.1,1.3,1.4,0.4,0.0,0.2,0.3,1.1,2020-21,0.36,0.17,
